                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2731,                 2.4758,                 1.4978,                0.31125,                0.46214,                0.33862,                0.20264,                    nan,                    nan,                    nan,             0.00030266,             0.00030266,             0.00030266
                      2,                 1.2935,                 1.9219,                 1.5093,                0.39534,                0.36275,                0.32739,                 0.1977,                    nan,                    nan,                    nan,             0.00060266,             0.00060266,             0.00060266
                      3,                 1.3335,                 1.9125,                 1.5531,                 0.3411,                0.37237,                0.28767,                0.16971,                    nan,                    nan,                    nan,             0.00089966,             0.00089966,             0.00089966
                      4,                 1.3456,                 1.8658,                 1.5637,                 0.2864,                0.42121,                0.33862,                0.18358,                    nan,                    nan,                    nan,              0.0008955,              0.0008955,              0.0008955
                      5,                 1.3176,                 1.7563,                 1.5437,                0.41422,                0.39847,                0.37892,                 0.2268,                    nan,                    nan,                    nan,               0.000891,               0.000891,               0.000891
                      6,                 1.2945,                 1.7039,                 1.5346,                0.41046,                0.38594,                0.36392,                0.22917,                    nan,                    nan,                    nan,              0.0008865,              0.0008865,              0.0008865
                      7,                 1.2737,                 1.6333,                 1.5011,                0.24274,                0.37755,                0.27075,                0.16131,                    nan,                    nan,                    nan,               0.000882,               0.000882,               0.000882
                      8,                 1.2332,                 1.6338,                 1.4757,                0.49884,                0.41185,                0.37742,                0.23482,                    nan,                    nan,                    nan,              0.0008775,              0.0008775,              0.0008775
                      9,                 1.2125,                 1.5167,                 1.4742,                0.40091,                0.47111,                0.37555,                0.23924,                    nan,                    nan,                    nan,               0.000873,               0.000873,               0.000873
                     10,                 1.1855,                 1.4089,                  1.426,                0.45612,                0.45195,                0.38912,                0.25184,                    nan,                    nan,                    nan,              0.0008685,              0.0008685,              0.0008685
                     11,                 1.1795,                 1.4071,                 1.4331,                0.49764,                0.44633,                0.46042,                  0.284,                    nan,                    nan,                    nan,               0.000864,               0.000864,               0.000864
                     12,                 1.1551,                  1.337,                 1.4083,                 0.3646,                0.46236,                0.33249,                0.22058,                    nan,                    nan,                    nan,              0.0008595,              0.0008595,              0.0008595
                     13,                 1.1296,                 1.3169,                 1.4031,                0.49346,                0.36931,                0.40465,                0.26806,                    nan,                    nan,                    nan,             0.00085501,             0.00085501,             0.00085501
                     14,                 1.1331,                 1.3474,                 1.4132,                0.30997,                0.44334,                0.34326,                0.23239,                    nan,                    nan,                    nan,             0.00085051,             0.00085051,             0.00085051
                     15,                 1.1145,                 1.2828,                 1.3911,                0.46257,                0.46189,                0.40291,                0.27365,                    nan,                    nan,                    nan,             0.00084601,             0.00084601,             0.00084601
                     16,                 1.0844,                 1.2456,                 1.3755,                0.45537,                0.43954,                0.40956,                0.28038,                    nan,                    nan,                    nan,             0.00084151,             0.00084151,             0.00084151
                     17,                 1.0942,                 1.2263,                 1.3717,                0.58373,                0.41688,                0.45107,                0.31698,                    nan,                    nan,                    nan,             0.00083701,             0.00083701,             0.00083701
                     18,                 1.0662,                 1.2027,                 1.3515,                0.38013,                0.42789,                0.37379,                0.27031,                    nan,                    nan,                    nan,             0.00083251,             0.00083251,             0.00083251
                     19,                 1.0655,                 1.1561,                 1.3403,                0.39916,                0.46423,                0.38053,                0.26581,                    nan,                    nan,                    nan,             0.00082801,             0.00082801,             0.00082801
                     20,                 1.0632,                 1.1492,                 1.3463,                0.44197,                0.54597,                0.41403,                0.28908,                    nan,                    nan,                    nan,             0.00082351,             0.00082351,             0.00082351
                     21,                 1.0369,                 1.1375,                 1.3267,                0.36571,                0.43343,                0.33247,                0.22989,                    nan,                    nan,                    nan,             0.00081901,             0.00081901,             0.00081901
                     22,                 1.0537,                 1.1078,                 1.3392,                0.55583,                0.47602,                0.50035,                0.35692,                    nan,                    nan,                    nan,             0.00081451,             0.00081451,             0.00081451
                     23,                 1.0324,                  1.129,                 1.3275,                0.48402,                0.37983,                0.39107,                0.28208,                    nan,                    nan,                    nan,             0.00081001,             0.00081001,             0.00081001
                     24,                 1.0239,                 1.0854,                 1.3251,                0.49978,                0.46669,                0.43013,                0.30217,                    nan,                    nan,                    nan,             0.00080551,             0.00080551,             0.00080551
                     25,                 1.0158,                 1.0738,                 1.3168,                 0.4127,                0.49599,                0.39383,                0.27984,                    nan,                    nan,                    nan,             0.00080101,             0.00080101,             0.00080101
                     26,                 0.9924,                 1.0335,                 1.3057,                0.36635,                0.44241,                0.35526,                0.25496,                    nan,                    nan,                    nan,             0.00079651,             0.00079651,             0.00079651
                     27,                 1.0024,                 1.0205,                 1.2987,                0.47115,                 0.4136,                0.41543,                0.31135,                    nan,                    nan,                    nan,             0.00079201,             0.00079201,             0.00079201
                     28,                 1.0105,                 1.0307,                 1.3012,                0.41555,                 0.4969,                0.38356,                0.29084,                    nan,                    nan,                    nan,             0.00078751,             0.00078751,             0.00078751
                     29,                0.96764,                 1.0098,                 1.2879,                0.42826,                0.46746,                0.40954,                0.28453,                    nan,                    nan,                    nan,             0.00078301,             0.00078301,             0.00078301
                     30,                0.98403,                0.99687,                 1.2921,                0.54615,                0.49004,                 0.5024,                0.37112,                    nan,                    nan,                    nan,             0.00077851,             0.00077851,             0.00077851
                     31,                0.97446,                0.98793,                 1.2782,                 0.5643,                0.51463,                0.52308,                0.39381,                    nan,                    nan,                    nan,             0.00077401,             0.00077401,             0.00077401
                     32,                 0.9771,                0.99335,                 1.2847,                0.44961,                0.52258,                0.45759,                0.34388,                    nan,                    nan,                    nan,             0.00076951,             0.00076951,             0.00076951
                     33,                0.96901,                0.95231,                 1.2753,                  0.448,                0.47703,                0.39134,                0.28869,                    nan,                    nan,                    nan,             0.00076501,             0.00076501,             0.00076501
