                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.87504,                0.84714,                 1.3174,                 0.7784,                0.61804,                0.68171,                0.52592,                    nan,                    nan,                    nan,             0.00080101,             0.00080101,             0.00080101
                     38,                0.86638,                 0.8414,                 1.3034,                0.60891,                0.59524,                0.53732,                0.39812,                    nan,                    nan,                    nan,             0.00079801,             0.00079801,             0.00079801
                     39,                0.85493,                0.84962,                 1.2918,                0.71122,                0.65348,                0.65461,                0.52438,                    nan,                    nan,                    nan,             0.00079501,             0.00079501,             0.00079501
                     40,                0.84367,                0.83855,                 1.2819,                0.64022,                0.60871,                0.60041,                 0.4712,                    nan,                    nan,                    nan,             0.00079201,             0.00079201,             0.00079201
                     41,                0.85273,                0.81935,                 1.2986,                0.76611,                0.60596,                 0.6715,                0.52336,                    nan,                    nan,                    nan,             0.00078901,             0.00078901,             0.00078901
                     42,                0.83714,                0.81068,                  1.279,                0.57948,                0.69846,                 0.5649,                0.42472,                    nan,                    nan,                    nan,             0.00078601,             0.00078601,             0.00078601
                     43,                 0.8316,                 0.8078,                 1.2779,                0.66672,                0.58959,                0.62524,                0.49384,                    nan,                    nan,                    nan,             0.00078301,             0.00078301,             0.00078301
                     44,                0.85078,                0.79578,                 1.2927,                0.80803,                0.62144,                0.65745,                0.51429,                    nan,                    nan,                    nan,             0.00078001,             0.00078001,             0.00078001
                     45,                0.83608,                0.79886,                 1.2704,                 0.6681,                0.63841,                 0.6525,                0.50841,                    nan,                    nan,                    nan,             0.00077701,             0.00077701,             0.00077701
                     46,                 0.8334,                0.81183,                  1.279,                0.66459,                0.59892,                0.60075,                0.47596,                    nan,                    nan,                    nan,             0.00077401,             0.00077401,             0.00077401
                     47,                0.83592,                0.78243,                 1.2833,                0.73611,                0.64055,                0.66199,                0.52978,                    nan,                    nan,                    nan,             0.00077101,             0.00077101,             0.00077101
                     48,                0.80412,                0.74616,                 1.2602,                 0.5435,                0.66344,                0.59105,                0.47308,                    nan,                    nan,                    nan,             0.00076801,             0.00076801,             0.00076801
                     49,                0.81404,                0.74964,                 1.2562,                0.63859,                0.57838,                0.63804,                0.50458,                    nan,                    nan,                    nan,             0.00076501,             0.00076501,             0.00076501
                     50,                0.81612,                0.74399,                 1.2567,                 0.6957,                0.59564,                0.65336,                0.52475,                    nan,                    nan,                    nan,             0.00076201,             0.00076201,             0.00076201
                     51,                0.80724,                0.73968,                 1.2562,                  0.702,                0.63879,                0.63613,                 0.5101,                    nan,                    nan,                    nan,             0.00075902,             0.00075902,             0.00075902
                     52,                0.78502,                0.72887,                 1.2409,                0.69908,                0.64803,                0.65206,                0.52116,                    nan,                    nan,                    nan,             0.00075602,             0.00075602,             0.00075602
                     53,                0.79717,                0.74562,                 1.2533,                0.61098,                0.63384,                0.61678,                0.49267,                    nan,                    nan,                    nan,             0.00075302,             0.00075302,             0.00075302
                     54,                0.78688,                 0.7338,                 1.2442,                0.62175,                0.63286,                 0.6038,                0.48076,                    nan,                    nan,                    nan,             0.00075002,             0.00075002,             0.00075002
                     55,                0.78821,                0.70949,                 1.2446,                0.63516,                 0.6193,                0.61427,                0.48851,                    nan,                    nan,                    nan,             0.00074702,             0.00074702,             0.00074702
                     56,                0.78022,                0.70812,                 1.2435,                0.62672,                0.61118,                0.61781,                 0.4952,                    nan,                    nan,                    nan,             0.00074402,             0.00074402,             0.00074402
                     57,                0.77734,                0.71004,                 1.2449,                0.74616,                0.62593,                0.70058,                0.56915,                    nan,                    nan,                    nan,             0.00074102,             0.00074102,             0.00074102
                     58,                0.77657,                0.69879,                 1.2272,                0.66484,                0.64399,                0.63472,                0.50815,                    nan,                    nan,                    nan,             0.00073802,             0.00073802,             0.00073802
                     59,                0.77787,                0.72281,                 1.2435,                 0.6451,                0.63007,                0.61845,                0.48808,                    nan,                    nan,                    nan,             0.00073502,             0.00073502,             0.00073502
                     60,                0.79075,                0.70992,                 1.2486,                0.70423,                0.63042,                0.67674,                0.54222,                    nan,                    nan,                    nan,             0.00073202,             0.00073202,             0.00073202
                     61,                0.78693,                0.69233,                 1.2463,                0.75742,                0.61304,                0.71381,                0.57671,                    nan,                    nan,                    nan,             0.00072902,             0.00072902,             0.00072902
                     62,                0.77316,                0.70579,                 1.2349,                0.60714,                0.60155,                0.59071,                0.47966,                    nan,                    nan,                    nan,             0.00072602,             0.00072602,             0.00072602
                     63,                0.76413,                0.69501,                 1.2246,                 0.6067,                0.64316,                0.60707,                0.48417,                    nan,                    nan,                    nan,             0.00072302,             0.00072302,             0.00072302
                     64,                0.76596,                0.67889,                 1.2286,                0.74181,                 0.6578,                0.68954,                0.55331,                    nan,                    nan,                    nan,             0.00072002,             0.00072002,             0.00072002
                     65,                0.76224,                0.68574,                 1.2262,                0.60151,                0.66101,                0.61911,                 0.4938,                    nan,                    nan,                    nan,             0.00071702,             0.00071702,             0.00071702
                     66,                0.75392,                0.67436,                 1.2182,                 0.5719,                0.60684,                0.57644,                0.45156,                    nan,                    nan,                    nan,             0.00071402,             0.00071402,             0.00071402
                     67,                0.76684,                0.67624,                 1.2172,                0.65735,                 0.6339,                0.64403,                0.52339,                    nan,                    nan,                    nan,             0.00071102,             0.00071102,             0.00071102
                     68,                0.74172,                0.65884,                  1.213,                0.66544,                0.62223,                0.62507,                0.49735,                    nan,                    nan,                    nan,             0.00070802,             0.00070802,             0.00070802
